Contract_One year,Contract_Two year,Dependents_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,InternetService_Fiber optic,InternetService_No,MonthlyCharges,MultipleLines_No phone service,MultipleLines_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,OnlineSecurity_No internet service,OnlineSecurity_Yes,PaperlessBilling_Yes,Partner_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,PhoneService_Yes,SeniorCitizen,StreamingMovies_No internet service,StreamingMovies_Yes,StreamingTV_No internet service,StreamingTV_Yes,TechSupport_No internet service,TechSupport_Yes,TotalCharges,gender_Male,tenure,churn,customerID
1,0,0,1,0,0,1,-1.4675060142452372,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.5560508161330804,0,0.797693988161937,0,8191-XWSZG
0,1,1,0,1,1,0,1.3928341377064908,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2.2495926306793175,1,1.5718292524118322,0,9959-WOFKT
0,0,1,0,1,0,0,-0.3190486958265014,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,-0.7742621363716935,0,-0.9135523854430948,1,4190-MFLUW
0,0,0,0,1,1,0,0.8393807556031058,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,-0.18547540482207542,0,-0.46536881140368175,0,4183-MYFRB
0,0,0,0,1,0,0,-0.8359375902233565,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,-0.9898704505662146,1,-1.2802480369298874,1,8779-QRDMV
1,0,0,1,0,0,1,-1.495760391109374,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,-0.9181333687409043,1,-0.8320644628904743,0,1680-VDCWW
0,0,0,1,0,0,1,-1.4841262359300234,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.9984736061356706,1,-1.2802480369298874,1,1066-JKSGK
0,1,0,0,0,0,0,-0.16281861198951006,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0.5390426503656527,0,1.0421577558197987,0,3638-WEABW
0,0,1,0,0,0,0,-0.17279074500038175,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0.3030955940300073,1,0.6754621043330061,0,6322-HRPFA
0,0,0,0,0,0,0,-0.3157246514895444,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.33208199947490835,0,-0.09867315991688919,0,6865-JZNKO
0,0,1,0,0,1,0,1.1485168789401314,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1.0879019163236925,1,0.5939741817803856,1,6467-CHFZW
0,0,1,0,0,0,0,-1.150059780065818,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.9940396721114126,1,-1.2802480369298874,1,8665-UTDHZ
0,1,0,0,1,0,0,0.8460288442770204,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1.802757966025724,1,1.6125732136881425,0,5248-YGIJN
0,0,1,0,0,0,0,-0.0032644838155611237,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,-0.5251015154562937,0,-0.6283446565089229,1,8773-HHUOZ
0,1,0,0,1,1,0,1.0487955488314133,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1.9781299834030968,0,1.5718292524118322,0,3841-NFECX
0,0,0,0,1,1,0,1.0205411719672768,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,-0.9272218305219706,1,-1.2395040756535771,0,4929-XIHVW
1,0,1,0,1,0,0,0.044934159070319335,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,-0.18037968960016687,0,-0.22090504374582004,0,6827-IEAUQ
0,0,0,1,0,0,1,-1.4824642137615447,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,-0.9984515467624158,1,-1.2802480369298874,0,7310-EGVHZ
0,0,0,0,0,0,0,-0.6497911073537496,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.9873998007616529,1,-1.2802480369298874,0,3413-BMNZE
0,1,1,0,0,1,0,1.1667991227933967,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,2.1919956071104716,0,1.6125732136881425,0,6234-RAAPL
0,0,0,0,0,1,0,0.1629377330323022,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,-0.8675512258671538,1,-1.1172721918246462,1,6047-YHPVI
0,0,0,0,1,1,0,0.3324639942171226,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.5581019488579861,0,0.5532302205040753,0,6572-ADKRS
0,0,0,0,1,1,0,1.3811999825271402,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0.5585210769498313,1,0.06430268518835193,1,5380-WJKOV
0,0,0,0,1,1,0,1.0986562138857725,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,-0.5196749096355598,0,-0.8728084241667845,1,8168-UQWWF
1,0,1,0,0,0,0,-0.5068572008645872,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,-0.7974906564092247,1,-0.9135523854430948,0,8865-TNMNX
0,1,1,0,0,0,0,0.14631751134751586,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1.142256212024051,0,1.5310852911355222,0,9489-DEDVP
1,0,1,1,0,0,1,-1.4641819699082799,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,-0.8228368762792375,0,-0.6283446565089229,0,9867-JCZSP
0,1,0,0,1,0,0,0.5003282332334644,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1.1374472686544572,0,1.24587756220135,0,4671-VJLCL
0,0,0,0,0,0,0,0.3790006149345245,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,-0.5743600959347432,0,-0.791320501614164,0,4080-IIARD
0,0,0,0,0,1,0,0.6548962949019775,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0.7162235363499369,0,0.6754621043330061,0,3714-NTNFO
0,0,0,0,0,0,0,-0.5168293338754589,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-0.9645683494427119,1,-1.2395040756535771,0,5948-UJZLF
0,0,0,0,0,1,0,0.526920587929123,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,-0.9437663604632323,0,-1.2395040756535771,1,7760-OYPDY
0,1,0,0,0,0,0,0.4970041888965074,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0.8534769567426433,1,0.797693988161937,0,7639-LIAYI
0,1,1,0,1,0,0,-0.021546727668825993,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0.8694920617257846,0,1.4903413298592119,0,2954-PIBKO
0,0,0,0,0,1,0,0.8460288442770204,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0.6862448480963709,0,0.4309983366751445,0,8012-SOUDQ
0,0,0,0,0,1,0,1.1402067680977384,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,-0.3780537333383605,0,-0.7098325790615434,1,9420-LOJKX
0,0,0,0,0,0,0,0.15628964435838757,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,-0.23411632284938455,0,-0.3023929662984406,0,6575-SUVOI
0,0,0,0,0,1,0,0.526920587929123,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,-0.727959511909416,0,-0.9950403079957154,1,7495-OOKFY
1,0,1,0,1,0,0,0.33412601638560113,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0.9587222265423222,0,1.1236456783724194,0,4667-QONEA
0,0,0,0,0,1,0,1.0188791497987983,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,-0.23416044159589464,1,-0.5876006952326126,1,1658-BYGOY
1,0,1,0,0,1,0,1.1584890119510036,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1.7770587961836308,0,1.24587756220135,0,8769-KKTPH
1,0,1,0,1,1,0,1.451004913603243,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,2.114633385105133,1,1.368109446030281,0,5067-XJQFU
0,1,1,1,0,0,1,-1.3245721077560746,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,-0.6128095835182352,0,0.06430268518835193,0,3957-SQXML
0,1,0,0,1,1,0,1.419426492402149,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,2.457590461100858,0,1.6125732136881425,0,5954-BDFSG
0,0,0,0,1,1,0,1.1867433888151402,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1.0693499834162248,0,0.5939741817803856,0,0434-CSFON
0,0,0,0,0,1,0,0.8343946890976701,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1.3974169824648146,1,1.1236456783724194,0,1215-FIGMP
0,1,0,0,1,0,0,-0.7544985039679034,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2994337380696746,1,1.6125732136881425,0,0526-SXDJP
1,0,1,0,1,0,0,-0.3456410505221597,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,-0.5851030107099358,0,-0.5876006952326126,0,0557-ASKVU
0,0,0,0,0,1,0,0.9839766842607471,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,-0.6291555791002016,0,-0.9542963467194051,1,5698-BQJOH
0,0,0,0,0,0,0,0.3490842159019089,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,-0.8996696733264564,0,-1.1987601143772668,0,5122-CYFXA
1,0,0,0,0,1,0,0.4687498120323708,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.6031251296714726,1,0.5939741817803856,0,8627-ZYGSZ
0,1,0,0,1,0,0,0.4787219450432425,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0.09436980429105073,0,-0.05792919864057891,0,3410-YOQBQ
0,1,1,1,0,0,1,-1.4841262359300234,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,-0.5966621222955638,0,0.7162060656093164,0,3170-NMYVV
0,0,0,0,1,1,0,0.5003282332334644,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.6158758364006823,1,-0.9135523854430948,0,7410-OIEDU
0,0,0,0,0,0,0,-0.5234774225493735,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-0.9857232883942716,1,-1.2802480369298874,0,2273-QCKXA
1,0,1,1,0,0,1,-1.4758161250876303,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,-0.5261824247457894,0,0.797693988161937,0,0731-EBJQB
0,1,1,0,1,1,0,1.5557123102173966,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,2.124626281189655,1,1.2866215234776603,0,1891-QRQSA
0,1,1,1,0,0,1,-1.3478404181147754,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,-0.3788478707755411,1,1.2051336009250397,0,8028-PNXHQ
0,0,1,0,0,0,0,-0.009912572489475751,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,-0.929096877248647,0,-1.1987601143772668,0,5630-AHZIL
1,0,0,0,1,1,0,1.5191478225108668,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1.7013069084259078,0,0.9606698332671781,0,2673-CXQEU
1,0,0,0,0,0,0,-0.30409049631019386,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.17892338197752508,0,0.5532302205040753,0,6416-JNVRK
0,0,1,0,0,0,0,-0.3373309396797665,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-0.7946008785128177,0,-0.9950403079957154,0,5590-ZSKRV
0,0,0,0,0,0,0,0.33080197204864403,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,-0.07588443849115852,1,-0.09867315991688919,0,0191-ZHSKZ
1,0,1,1,0,0,1,-1.2929936865549807,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,-0.47061486351640547,0,0.512486259227765,0,3887-PBQAO
0,0,1,0,0,1,0,0.48370801154867815,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,-0.9723553082017324,0,-1.2802480369298874,1,5919-TMRGD
0,0,1,0,0,0,0,-0.47361675749501453,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,-0.757938200162982,0,-0.8728084241667845,0,8108-UXRQN
0,0,0,0,1,1,0,0.3440981493964733,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,-0.7881374821490981,0,-1.0357842692720256,1,9191-MYQKX
0,0,0,0,1,1,0,1.2964368519347298,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0.9018752216641471,0,0.3902543753988342,0,9919-YLNNG
0,1,0,1,0,0,1,-1.4841262359300234,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,-0.5779337144020558,0,0.6754621043330061,0,0318-ZOPWS
0,0,0,0,0,1,0,1.1468548567716528,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,-0.6020225499965326,1,-0.9542963467194051,0,4445-ZJNMU
1,0,0,0,0,0,0,-0.08802761440797156,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,-0.029934764000961456,0,0.10504664646466222,0,4808-YNLEU
0,1,1,1,0,0,1,-1.4675060142452372,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,-0.5410283829464149,0,0.6347181430566958,0,1862-QRWPE
0,1,1,1,0,0,1,-1.4907743246039378,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,-0.5983386346629451,0,0.5532302205040753,0,2796-NNUFI
0,0,0,0,0,0,0,-1.0320562061038352,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,-0.5620950844049546,1,-0.13941712119319946,0,3016-KSVCP
0,0,1,0,1,1,0,0.5734572086465244,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.1265764892433733,1,-0.09867315991688919,0,4767-HZZHQ
0,0,0,0,0,1,0,0.32913994988016554,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,-0.9744068299144488,1,-1.2802480369298874,0,2424-WVHPL
0,1,1,0,1,0,0,0.6382760732171912,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1.5136919388920012,1,1.368109446030281,0,7233-PAHHL
0,0,0,0,1,1,0,1.5374300663641316,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,2.128155780910457,0,1.3273654847539706,0,6067-NGCEU
0,1,0,0,1,1,0,1.2000395661629695,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2.283475827999021,1,1.6125732136881425,0,9848-JQJTX
0,0,0,0,0,1,0,0.47041183420084937,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,-0.59822833779667,0,-0.8320644628904743,1,8637-XJIVR
1,0,1,0,0,0,0,0.06820246942901982,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1.0877033819643973,1,1.5718292524118322,0,9803-FTJCG
0,0,0,1,0,0,1,-1.4542098368974081,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.9571343406557717,1,-1.1172721918246462,1,0278-YXOOG
0,1,0,1,0,0,1,-1.4558718590658866,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,-0.5188807721983792,1,0.797693988161937,0,3212-KXOCR
0,0,0,0,1,1,0,1.1202625020759949,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0.10200234743728616,0,-0.3023929662984406,1,4598-XLKNJ
0,0,0,1,0,0,1,-1.4824642137615447,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.9984515467624158,1,-1.2802480369298874,0,6380-ARCEH
0,0,1,1,0,0,1,-1.5073945462887242,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,-0.998782437361241,0,-1.2802480369298874,0,3679-XASPY
1,0,0,0,1,1,0,1.0039209502824906,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.5833819906082337,1,0.22727853029359305,0,7123-WQUHX
1,0,0,0,1,0,0,-0.6398189743428778,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.3282212201674698,0,1.368109446030281,0,5386-THSLQ
0,1,0,0,1,1,0,1.5025276008260804,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,2.3508892726663486,1,1.4495973685829016,1,3192-NQECA
0,0,0,0,0,0,0,-1.346178395946297,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.963156549554391,1,-1.1172721918246462,0,6180-YBIQI
1,0,1,0,0,1,0,1.3080710071140806,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,2.214650583443373,0,1.6125732136881425,0,6728-DKUCO
1,0,0,0,0,0,0,-1.1517218022342968,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.5980959815571398,0,-0.01718523736426863,0,9750-BOOHV
1,0,0,0,0,1,0,0.9823146620922681,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0.7226648733404015,1,0.4309983366751445,0,8597-CWYHH
0,1,1,1,0,0,1,-1.509056568457203,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,-0.4059147217594451,1,1.6125732136881425,0,2848-YXSMW
0,0,0,0,0,1,0,1.0620917261792426,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1.303973477356569,1,0.9199258719908678,1,0486-HECZI
1,0,0,0,1,0,0,-0.2276374765601766,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0.3348390321439745,0,0.797693988161937,0,4549-ZDQYY
0,0,0,0,1,1,0,0.8925654649944222,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0.7371358221956916,0,0.4309983366751445,0,5712-AHQNN
0,0,0,0,0,1,0,0.3889727479453962,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0.25802829447001063,0,0.18653456901728277,1,4846-WHAFZ
0,1,1,0,0,0,0,-0.33899296184824507,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0.5030417532134674,0,1.2866215234776603,0,5256-SKJGO
0,0,1,0,0,1,0,0.8327326669291911,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,-0.897772567226525,1,-1.1987601143772668,0,3071-VBYPO
0,1,0,0,0,0,0,-1.1218054032016815,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5104320322417084,0,0.1457906077409725,0,9560-BBZXK
0,0,1,0,0,1,0,1.178433277972747,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,-0.5376532988383974,0,-0.9135523854430948,1,5299-RULOA
0,1,0,1,0,0,1,-1.4675060142452372,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.6389058220789184,0,0.3495104141225239,0,8402-OOOHJ
0,0,1,0,0,1,0,0.6781646052606785,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,-0.05810458364761617,1,-0.22090504374582004,0,9445-ZUEQE
1,0,1,0,1,1,0,1.1634750784564392,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1.4259838708300596,0,0.9606698332671781,0,1091-SOZGA
0,0,0,1,0,0,1,-1.4658439920767583,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.957619646867382,0,-1.076528230548336,0,2928-HLDBA
0,0,0,0,0,1,0,0.3191678168692938,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,-0.9060889509436658,1,-1.1987601143772668,1,0404-SWRVG
0,0,1,0,0,0,0,-0.46863069098957844,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-0.8527935051595485,0,-1.0357842692720256,0,6497-TILVL
0,0,1,1,0,0,1,-1.4608579255713225,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,-0.9796128420026324,0,-1.1580161531009565,0,7219-TLZHO
0,1,0,0,0,1,0,0.802816267896576,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0.32839769515350997,1,0.02355872391204165,0,4622-YNKIJ
0,0,0,0,1,1,0,0.44049543516823375,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,-0.06520770183573112,0,-0.22090504374582004,1,4412-YLTKF
0,1,0,1,0,0,1,-1.3711087284734764,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,-0.24677840309776344,1,1.6125732136881425,0,6734-PSBAW
0,0,0,1,0,0,1,-1.4974224132778524,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.9986500811217108,1,-1.2802480369298874,0,3930-ZGWVE
1,0,0,0,0,0,0,-0.2774981416145356,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0.7509229304800763,1,1.5718292524118322,0,2639-UGMAZ
0,0,0,0,0,1,0,0.703094937787858,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,-0.4710339916082507,0,-0.791320501614164,0,2876-GZYZC
0,0,1,0,1,0,0,-0.20603118836995443,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,-0.3444131891244619,0,-0.3023929662984406,1,6207-WIOLX
0,1,0,0,0,0,0,-0.47361675749501453,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.43095172141607685,1,1.4088534073065913,0,8587-XYZSF
0,0,0,0,0,0,0,-0.9755474523755615,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.991723437919636,1,-1.2802480369298874,1,3091-FYHKI
0,0,0,0,0,0,0,-0.6797075063863649,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.9715170520180417,1,-1.2395040756535771,1,2372-HWUHI
0,1,0,1,0,0,1,-1.2996417752288951,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,-0.48314458752525424,0,0.4309983366751445,0,7799-LGRDP
0,0,0,0,0,1,0,0.3391120828910372,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.22271162687654159,0,-0.38388088885106114,0,7850-VWJUU
0,1,1,1,0,0,1,-1.4824642137615447,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,-0.44363625002552154,0,1.2866215234776603,0,3774-VBNXY
0,1,1,1,0,0,1,-1.5024084797832884,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,-0.4909315462842747,1,1.0014137945434884,0,6217-KDYWC
0,0,0,0,0,1,0,0.18786806555948168,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,-0.9762818766411252,0,-1.2802480369298874,1,0390-DCFDQ
0,1,1,0,1,0,0,0.7728998688639604,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1.8275527015643613,0,1.6125732136881425,0,3146-MSEGF
0,0,0,0,0,0,0,0.21113637591818266,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,-0.7586882188536525,0,-0.9950403079957154,1,4080-OGPJL
